"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 09, 2020","1,800.61","1,773.86","1,862.63","1,761.49","7.81M","-5.29%"
"Feb 28, 2020","1,883.75","1,814.63","1,889.76","1,811.13","9.49M","-0.03%"
"Mar 06, 2020","1,901.09","1,875.00","1,910.87","1,869.50","5.27M","-1.19%"
"Mar 02, 2020","1,953.95","1,906.49","1,954.51","1,870.00","6.76M","3.73%"
"Feb 27, 2020","1,884.30","1,934.38","1,975.00","1,882.76","8.14M","-4.81%"
"Mar 03, 2020","1,908.99","1,975.37","1,996.33","1,888.09","7.53M","-2.30%"
"Mar 05, 2020","1,924.03","1,933.00","1,960.72","1,910.00","4.75M","-2.62%"
"Mar 04, 2020","1,975.83","1,946.57","1,978.00","1,922.00","4.77M","3.50%"
"Feb 25, 2020","1,972.74","2,026.42","2,034.60","1,958.42","6.22M","-1.82%"
"Feb 26, 2020","1,979.59","1,970.28","2,014.67","1,960.45","5.24M","0.35%"
"Feb 24, 2020","2,009.29","2,003.18","2,039.30","1,987.97","6.55M","-4.14%"
"Feb 10, 2020","2,133.91","2,085.01","2,135.60","2,084.96","5.06M","2.63%"
"Feb 21, 2020","2,095.97","2,142.15","2,144.55","2,088.00","4.65M","-2.65%"
"Feb 18, 2020","2,155.67","2,125.02","2,166.07","2,124.11","2.95M","0.97%"
"Feb 14, 2020","2,134.87","2,155.68","2,159.04","2,125.89","2.61M","-0.70%"
"Feb 20, 2020","2,153.10","2,173.07","2,176.79","2,127.45","3.13M","-0.79%"
"Feb 11, 2020","2,150.80","2,150.90","2,185.95","2,136.00","5.75M","0.79%"
"Feb 13, 2020","2,149.87","2,144.99","2,170.28","2,142.00","3.03M","-0.47%"
"Feb 12, 2020","2,160.00","2,163.20","2,180.25","2,155.29","3.33M","0.43%"
"Feb 19, 2020","2,170.22","2,167.80","2,185.10","2,161.12","2.56M","0.67%"